Título,URL,Copete,Sección
"""Yellowstone"": la última gran actuación de Kevin Costner en la pantalla chica",/espectaculos/2024-5-20-19-15-0-yellowstone-la-ultima-gran-actuacion-de-kevin-costner-en-la-pantalla-chica,"En el estadio Bautista Gargantini, el ""Tomba"" y la ""Lepra"" se volvieron a ver las caras tras 16 años.",Espectáculos
Gran Hermano: un participante y un familiar resultaron eliminados este domingo,/espectaculos/2024-5-20-16-23-0-gran-hermano-un-participante-y-un-familiar-resultaron-eliminados-este-domingo,"En el estadio Bautista Gargantini, el ""Tomba"" y la ""Lepra"" se volvieron a ver las caras tras 16 años.",Espectáculos
Leo Messi y Antonella Roccuzzo disfrutaron de un show improvisado de María Becerra en Miami,/espectaculos/2024-5-20-16-0-0-leo-messi-y-antonella-roccuzzo-disfrutaron-de-un-show-improvisado-de-maria-becerra-en-miami,"En el estadio Bautista Gargantini, el ""Tomba"" y la ""Lepra"" se volvieron a ver las caras tras 16 años.",Salta
VIDEO. La caja de un camión volquete quedó atorada en el puente de la Circunvalación Noroeste,/salta/2024-5-20-15-4-0-video-la-caja-de-un-camion-volquete-quedo-atorada-en-el-puente-de-la-circunvalacion-noroeste,"En el estadio Bautista Gargantini, el ""Tomba"" y la ""Lepra"" se volvieron a ver las caras tras 16 años.",Deportes
VIDEO. Independiente Rivadavia y Godoy Cruz no se sacaron ventaja en el clásico mendocino,/deportes/2024-5-18-15-53-0-independiente-rivadavia-vs-godoy-cruz-por-la-liga-profesional-minuto-a-minuto-en-directo,"En el estadio Bautista Gargantini, el ""Tomba"" y la ""Lepra"" se volvieron a ver las caras tras 16 años.",Primera Nacional
Gimnasia y Tiro perdió en el Gigante del Norte: cuál fue la última derrota antes de Temperley,/deportes/2024-5-17-17-33-0-la-ultima-derrota-de-gimnasia-antes-de-temperley-la-goleada-de-sportivo-belgrano-en-2022,Esta mañana hubo una manifestación en la Fiscalía para pedir la condena máxima para los involucrados en el aberrante suceso.,Deportes
"El programa ""Salta Juega"" visitó la escuela de básquet del club Castañares",/deportes/2024-5-17-23-24-0-el-programa-salta-juega-visito-la-escuela-de-basquet-del-club-castanares,Esta mañana hubo una manifestación en la Fiscalía para pedir la condena máxima para los involucrados en el aberrante suceso.,Deportes
La servilleta en la que Messi firmó su primer contrato fue subastada,/deportes/2024-5-17-19-46-0-la-servilleta-en-la-que-messi-firmo-su-primer-contrato-fue-subastada,Esta mañana hubo una manifestación en la Fiscalía para pedir la condena máxima para los involucrados en el aberrante suceso.,Deportes
Tyson Fury y su polémico universo de contradicciones,/deportes/2024-5-18-0-0-0-tyson-fury-y-su-polemico-universo-de-contradicciones,Esta mañana hubo una manifestación en la Fiscalía para pedir la condena máxima para los involucrados en el aberrante suceso.,Espectáculos
"Andrea Bonelli: ""Nunca pensé hacer otra cosa que no sea actuar""",/espectaculos/2024-5-20-10-44-0-andrea-bonelli-nunca-pense-hacer-otra-cosa-que-no-sea-actuar,Esta mañana hubo una manifestación en la Fiscalía para pedir la condena máxima para los involucrados en el aberrante suceso.,Espectáculos
